195,You know its bad when NAn the wNAher people are NA out and NAg they hNA nNAr sNA aNAhing like it frankenstorm sandy,40.8793292,-73.225729,28,22,34
196,NAcourage Sandy,41.09531368,-74.16747353,30,23,37
197,HNAnt sNA any of NAricane sandy yet Hooray for NA in Ottawa HurricaneSandy,45.46014009,-74.22539535,29,22,10
198,The NANAend NA Sandy is a NANA name for a dog NAn a NAricane fb,40.728448,-73.99797695,28,16,45
199,GiNAs are in serious trouble like MittRomney GiNAs NANA NAt making NAe NAys Otherwise sandy in Dallas NAl be a NA,40.78456022,-73.94901251,28,22,30
200,NA de sNAlite mas reciNAe de Sandy vs FrNAe NAo8 y NA el NA de NA NA httptcoruaC3MqG,19.473833,-99.119596,28,16,44
201,Status NA NA RT NA NA NA s RT NA Gatau NA  RT NA NA NA NA NA NA,-7.3404866,112.7869718,31,12,51
202,NYCEDC Volunteers are needed NANAow to NA in NA and NA of ConeyIsland httptcokYTwx4sR Sandy NettiKlein,40.61128638,-73.92859368,3,3,6
203,NA Access to NAe eNAnNA dataNAes and eNA is being affected by the wNAher NA in AmNAa NA Sandy,51.52771,-0.18414,30,11,56
204,Why is NAryone and their NA NA up and NAn NA NAeet   I NA sandy NA done more NAn this,42.08578791,-71.02019942,30,21,8
205,nofilNA NAricanNAndy NA NA sNA coNAg NAssss   SUNY Campus CNAer httptcofOc4LiMf,42.68631569,-73.8242197,29,19,12
206,Good NAg working from home today as school is NAd  Stay safe NAryone Sandy,41.7701847,-71.3645202,29,12,36
207,Sandy tNAa fuck my city up My city nNAr NA NAnyc,35.4373224,-80.629985,29,22,20
208,     sandy              East side,40.78586835,-73.94831966,30,1,40
209,Y l solo esta espNAndo a sandy httptcoI8iNirpE,19.51868494,-99.23325845,30,4,2
210,NA Te NAero NA me NA NA NA NA,19.36602282,-99.58619981,4,17,50
211,My NAt NAts for all of NAse affected by the storm PrNArs going your way sandy,33.53322425,-117.1744562,30,16,0
212,NA NA a NAcken NA NA made with NA NA httptcoMuDFxcnj,38.93805128,-77.0257159,30,17,13
213,ANAado en mi NA espNAndo a sandy,40.612498,-75.3582372,29,16,27
214,Para que se NA NA NA de lo NANAe que es Sandy NA NA NA de NA NA en NA NA 2 NAs,35.80870804,-78.40142064,29,21,14
215,If youre NA NAn and bored NA AHurricaneSandy on twitNA,28.60072443,-81.16808645,29,23,59
216,Just got power back on in west NAler sandy,40.1576583,-75.2304902,30,0,37
217,ReliNAd to hNA NAd news from Shuv Her tiNAg for an East Coast NA is impeccNA Sandy,51.58360535,-3.20167508,29,19,10
218,Damn Im still the best NAricane NAr fuck sandy,38.97037873,-94.73905696,30,15,27
219,They could of at least NAed a NANA name for this NA NAricane I mean WTF is Sandyits like NA Chuck NNAis Britney,51.55627,-0.3469242,29,20,57
220,Sandy bgz,40.38205851,-82.50898438,31,5,35
221,They NAt NAd my house no school NA NAricanNAndy,37.67448917,-77.62206699,28,20,2
222,Not NAe if its a NAn of NAanormal NAivity or if Sandy is NAt NA this thing homeNA NA,41.50198341,-73.05434139,30,0,34
223,Im NAt waiNA to see a NA car get NA NAn the NAeet NAricanNAndy,40.08951965,-74.0871362,29,18,14
224,"ETATSUNIS PrsiNAtiNAe NA les vNAs de Sandy NAorNAs  ONAa httptcoT0RUqbN2
 via RFI",40.714353,-74.005973,1,15,57
225,StonedSandy turn up nigga,40.56758479,-74.44342856,28,20,41
226,iPoonamNA NA sandy all NA now NASHA NAl be new NA Addicted to NA NA,21.17035,72.79359,2,6,53
227,My NAt go out to all the sandy victim in USA May God NA u all,9.04271,7.49485,31,8,45
228,NA NA NAniNAs NA good to NA  Sandy got us NA up in midtNA NYC,40.75416593,-73.97604739,29,23,25
229,Im at QuikTNA Sandy SpNAs GA httptcow6sGGQsO,33.97310923,-84.35830325,5,21,31
230,NA cNAing food NA sandy   Bobbys Palace httptcowdJk8nFY,39.95880911,-75.15934631,29,22,42
231,MedNAnde till er NA NAnalNAer NA NA NA Coney Island NA NA vdNA Ni r NA i NA P NA sandy hllihNAen,59.33262238,14.52185277,29,22,26
232,My NA name is sandy And sNA a NAch Go NAeee,43.66206547,-73.78564724,29,15,58
233,Amazing NA RT NA The NAs who MANUALLY VENTILATED NA NAn NA NAs of NA are amazing NA httptco9mFbJ4vC,37.78960656,-122.4172173,30,19,7
234,We still hNA power but its NA like crazy Wind is cNAtNA and LOUD NA were all together not a sandy NA,40.6171948,-74.088645,30,0,49
235,Nick should be hNAg a spongeNA maraNAn in NA of NAricane sandy NAonnagetyouNAtyNA,40.1710171,-80.2341544,30,20,28
236,Its not a Hurricane she is now SUPERSTORM SANDY One for the NA NA  ENAyone stay safe its not oNA yet httptco21g6TG9b,41.705953,-73.937838,30,16,30
